Date,TicketID,User Name,UserID,AnsweredBy,Issue,Description,ResolvedBy
1-2-2025,1,,User001,Rep001,Password Reset,,
1-2-2025,2,,User002,Rep001,Password Reset,,
1-2-2025,3,,User003,Rep001,Missing Printer Driver,,
1-3-2025,4,,User004,Rep001,Missing Printer Driver,,
1-3-2025,5,,User005,Rep001,Software Install,,
1-3-2025,6,,User006,Rep001,Software Install,,
1-3-2025,7,,User007,Rep001,Software Install,,
1-3-2025,8,,User008,Rep001,Password Reset,,
1-4-2025,9,,User009,Rep002,Slow Computer,,
1-4-2025,10,,User010,Rep002,Slow Computer,,
1-4-2025,11,,User011,Rep002,Slow Computer,,
1-5-2025,12,,User012,Rep002,Password Reset,,
1-5-2025,13,,User013,Rep002,Network Issues,,
1-5-2025,14,,User014,Rep002,Network Issues,,
1-5-2025,15,,User015,Rep002,Password Reset,,
1-5-2025,16,,User016,Rep002,Password Reset,,
1-6-2025,17,,User001,Rep002,Password Reset,,
1-7-2025,18,,User002,Rep002,Network Issues,,
1-7-2025,19,,User019,Rep003,Access Request,,
1-7-2025,20,,User020,Rep003,Password Reset,,
1-7-2025,21,,User021,Rep003,Access Request,,
1-7-2025,22,,User022,Rep003,Missing Printer Driver,,
1-7-2025,23,,User023,Rep003,Password Reset,,
1-7-2025,24,,User024,Rep003,Password Reset,,
1-8-2025,25,,User025,Rep003,Missing Printer Driver,,
1-8-2025,26,,User026,Rep003,Missing Printer Driver,,
1-8-2025,27,,User027,Rep003,Software Install,,
1-8-2025,28,,User028,Rep003,Software Install,,
1-8-2025,29,,User029,Rep003,Software Install,,
1-8-2025,30,,User030,Rep003,Password Reset,,
1-9-2025,31,,User031,Rep003,Slow Computer,,
1-9-2025,32,,User032,Rep004,Slow Computer,,
1-9-2025,33,,User033,Rep004,Slow Computer,,
1-9-2025,34,,User034,Rep004,Password Reset,,
1-9-2025,35,,User035,Rep004,Network Issues,,
1-10-2025,36,,User036,Rep004,Network Issues,,
1-10-2025,37,,User037,Rep004,Password Reset,,
1-10-2025,38,,User038,Rep004,Password Reset,,
1-10-2025,39,,User039,Rep001,Password Reset,,
1-10-2025,40,,User040,Rep001,Network Issues,,
1-11-2025,41,,User041,Rep001,Access Request,,
1-11-2025,42,,User042,Rep001,Password Reset,,
1-11-2025,43,,User043,Rep001,Access Request,,
1-11-2025,44,,User044,Rep001,Missing Printer Driver,,
1-11-2025,45,,User038,Rep001,Password Reset,,
1-11-2025,46,,User039,Rep001,Password Reset,,
1-12-2025,47,,User047,Rep002,Missing Printer Driver,,
1-12-2025,48,,User048,Rep002,Missing Printer Driver,,
1-12-2025,49,,User049,Rep002,Software Install,,
1-12-2025,50,,User050,Rep002,Software Install,,
1-12-2025,51,,User051,Rep002,Software Install,,
1-12-2025,52,,User052,Rep002,Password Reset,,
1-12-2025,53,,User053,Rep002,Slow Computer,,
1-13-2025,54,,User054,Rep002,Slow Computer,,
1-13-2025,55,,User055,Rep002,Slow Computer,,
1-13-2025,56,,User056,Rep002,Password Reset,,
1-13-2025,57,,User057,Rep003,Network Issues,,
1-13-2025,58,,User058,Rep003,Network Issues,,
1-13-2025,59,,User059,Rep003,Password Reset,,
1-14-2025,60,,User060,Rep003,Password Reset,,
1-14-2025,61,,User061,Rep003,Password Reset,,
1-14-2025,62,,User062,Rep003,Network Issues,,
1-14-2025,63,,User063,Rep003,Access Request,,
1-14-2025,64,,User064,Rep003,Password Reset,,
1-14-2025,65,,User065,Rep003,Access Request,,
1-14-2025,66,,User066,Rep003,Missing Printer Driver,,
1-15-2025,67,,User067,Rep003,Password Reset,,
1-15-2025,68,,User068,Rep003,Password Reset,,
1-15-2025,69,,User069,Rep003,Missing Printer Driver,,
1-15-2025,70,,User070,Rep004,Missing Printer Driver,,
1-15-2025,71,,User071,Rep004,Software Install,,
1-15-2025,72,,User072,Rep004,Software Install,,
1-16-2025,73,,User073,Rep004,Software Install,,
1-16-2025,74,,User074,Rep004,Password Reset,,
1-16-2025,75,,User075,Rep004,Slow Computer,,
1-16-2025,76,,User076,Rep004,Slow Computer,,
1-16-2025,77,,User077,Rep001,Slow Computer,,
1-16-2025,78,,User078,Rep001,Password Reset,,
1-17-2025,79,,User079,Rep001,Network Issues,,
1-17-2025,80,,User080,Rep001,Network Issues,,
1-17-2025,81,,User081,Rep001,Password Reset,,
1-17-2025,82,,User082,Rep001,Password Reset,,
1-17-2025,83,,User083,Rep001,Password Reset,,
1-17-2025,84,,User084,Rep001,Network Issues,,
1-17-2025,85,,User085,Rep002,Access Request,,
1-18-2025,86,,User086,Rep002,Password Reset,,
1-18-2025,87,,User087,Rep002,Access Request,,
1-19-2025,88,,User088,Rep002,Missing Printer Driver,,
1-19-2025,89,,User089,Rep002,Password Reset,,
1-19-2025,90,,User090,Rep002,Password Reset,,
1-19-2025,91,,User091,Rep002,Missing Printer Driver,,
1-19-2025,92,,User092,Rep002,Missing Printer Driver,,
1-20-2025,93,,User093,Rep002,Software Install,,
1-20-2025,94,,User094,Rep002,Software Install,,
1-20-2025,95,,User095,Rep003,Software Install,,
1-20-2025,96,,User096,Rep003,Password Reset,,
1-20-2025,97,,User097,Rep003,Slow Computer,,
1-20-2025,98,,User098,Rep003,Slow Computer,,
1-21-2025,99,,User099,Rep003,Slow Computer,,
1-21-2025,100,,User100,Rep003,Password Reset,,
1-21-2025,101,,User101,Rep003,Network Issues,,
1-22-2025,102,,User102,Rep003,Network Issues,,
1-22-2025,103,,User103,Rep003,Password Reset,,
1-22-2025,104,,User104,Rep003,Password Reset,,
1-22-2025,105,,User105,Rep003,Password Reset,,
1-23-2025,106,,User106,Rep003,Network Issues,,
1-23-2025,107,,User107,Rep003,Access Request,,
1-23-2025,108,,User108,Rep004,Password Reset,,
1-23-2025,109,,User109,Rep004,Access Request,,
1-23-2025,110,,User110,Rep004,Missing Printer Driver,,
1-23-2025,111,,User111,Rep004,Password Reset,,
1-23-2025,112,,User112,Rep004,Password Reset,,
1-24-2025,113,,User113,Rep004,Missing Printer Driver,,
1-24-2025,114,,User114,Rep004,Missing Printer Driver,,
1-24-2025,115,,User115,Rep002,Software Install,,
1-24-2025,116,,User116,Rep003,Software Install,,
1-24-2025,117,,User117,Rep004,Software Install,,